start;1570965920;C3
start;1570965947;C3
stop;1570965949;C3
start;1570965950;C3
start;1570965981;C3
stop;1570965982;C3
start;1570965983;C3
start;1570966066;C3
stop;1570966069;C3
start;1570966070;C3
start;1570966084;C3
start;1570966088;C3
start;1570966090;C3
start;1570966091;C3
start;1570966092;C3
start;1570966093;C3
start;1570966096;C3
start;1570966099;C3
start;1570966100;C3
stop;1570966101;C3
start;1570966101;C3
start;1570966102;C3
start;1570966102;C3
start;1570966103;C3
stop;1570966104;C3
start;1570966106;C3
start;1570966117;C3
start;1570966124;C3
start;1570966127;C3
start;1570966129;C3
start;1570966130;C3
start;1570966138;C3
start;1570966154;C3
start;1570966166;C3
start;1570966170;C3
start;1570966170;C3
start;1570966171;C3
start;1570966171;C3
start;1570966171;C3
start;1570966172;C3
start;1570966173;C3
start;1570966174;C3
start;1570966175;C3
stop;1570966177;C3
start;1570966285;C3
start;1570966288;C3
start;1570966291;C3
start;1570966293;C3
stop;1570966295;C3
start;1570966297;C3
stop;1570966297;C3
start;1570966299;C3
stop;1570966300;C3
start;1570966298;C3
stop;1570966299;C3
start;1570966301;C3
stop;1570966301;C3
start;1570966303;C3
stop;1570966304;C3
start;1570966306;C3
stop;1570966307;C3
start;1570966311;C3
stop;1570966312;C3
start;1570966313;C3
start;1570966316;C3
start;1570966318;C3
stop;1570966327;C3
start;1570966330;C3
